IdCliente,Evasao,Genero,Idoso,Parceiro,Dependentes,Meses_Contrato,Servico_Telefonico,Multiplas_Linhas,Servico_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Fatura_Digital,Metodo_Pagamento,Gasto_Mensal,Gasto_Total,Contas_Diarias
0058-EVZWM,Nao,Feminino,0,Sim,Nao,55,Sim,Sim,Fibra_optica,Sim,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,Transferencia_automatica,89.8,4959.6,2.993333333333333
0060-FUALY,Nao,Feminino,0,Sim,Nao,59,Sim,Sim,Fibra_optica,Sim,Sim,Nao,Nao,Sim,Nao,Mensal,Sim,Cheque_eletronico,94.75,5597.65,3.158333333333333
0064-SUDOG,Nao,Feminino,0,Sim,Sim,12,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Nao,Transferencia_automatica,20.3,224.5,0.6766666666666666
0064-YIJGF,Nao,Masculino,0,Sim,Sim,27,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Transferencia_automatica,75.75,1929.0,2.525
0067-DKWBL,Sim,Masculino,1,Nao,Nao,2,Sim,Nao,DSL,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_eletronico,49.25,91.1,1.6416666666666666
0068-FIGTF,Nao,Feminino,0,Nao,Nao,27,Sim,Nao,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Um_ano,Nao,Cheque_enviado,78.2,2078.95,2.606666666666667
0071-NDAFP,Nao,Masculino,0,Sim,Sim,25,Sim,Sim,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Nao,Cartao_credito_automatico,25.5,630.6,0.85
0074-HDKDG,Nao,Masculino,0,Sim,Sim,25,Sim,Nao,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Um_ano,Sim,Transferencia_automatica,61.6,1611.0,2.0533333333333332
0076-LVEPS,Nao,Masculino,0,Nao,Sim,29,Nao,Sem_telefone,DSL,Sim,Sim,Sim,Sim,Nao,Nao,Mensal,Sim,Cheque_enviado,45.0,1242.45,1.5
0078-XZMHT,Nao,Masculino,0,Sim,Nao,72,Sim,Sim,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Dois_anos,Sim,Transferencia_automatica,85.15,6316.2,2.8383333333333334
0080-EMYVY,Nao,Feminino,0,Nao,Nao,14,Sim,Nao,DSL,Nao,Sim,Nao,Nao,Nao,Nao,Um_ano,Nao,Cartao_credito_automatico,51.45,727.85,1.715
0080-OROZO,Nao,Feminino,0,Nao,Nao,35,Sim,Nao,Fibra_optica,Nao,Nao,Sim,Sim,Sim,Sim,Um_ano,Sim,Cheque_eletronico,99.25,3532.0,3.308333333333333
0082-LDZUE,Nao,Masculino,0,Nao,Nao,1,Sim,Nao,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_enviado,44.3,44.3,1.4766666666666666
0082-OQIQY,Nao,Masculino,0,Nao,Nao,29,Sim,Nao,Fibra_optica,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,Cheque_eletronico,94.2,2607.6,3.14
0083-PIVIK,Nao,Masculino,0,Nao,Nao,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Nao,Um_ano,Nao,Cheque_eletronico,81.25,5567.55,2.7083333333333335
0089-IIQKO,Nao,Feminino,0,Sim,Sim,39,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,Cartao_credito_automatico,99.95,3767.4,3.3316666666666666
0093-EXYQL,Nao,Feminino,1,Nao,Nao,40,Sim,Nao,Fibra_optica,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,91.55,3673.6,3.0516666666666667
0093-XWZFY,Sim,Masculino,0,Nao,Nao,40,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Sim,Cartao_credito_automatico,104.5,4036.85,3.4833333333333334
0094-OIFMO,Sim,Feminino,1,Nao,Nao,11,Sim,Nao,Fibra_optica,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,95.0,1120.3,3.1666666666666665
0096-BXERS,Nao,Feminino,0,Sim,Nao,6,Sim,Sim,DSL,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,Cheque_eletronico,50.35,314.55,1.6783333333333335
0096-FCPUF,Nao,Masculino,0,Nao,Nao,30,Sim,Sim,DSL,Sim,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,Cheque_enviado,64.5,1888.45,2.15
0098-BOWSO,Nao,Masculino,0,Nao,Nao,27,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Sim,Cheque_eletronico,19.4,529.8,0.6466666666666666
0100-DUVFC,Nao,Masculino,1,Sim,Nao,70,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Nao,Sim,Sim,Um_ano,Sim,Cheque_eletronico,104.8,7308.95,3.493333333333333
0103-CSITQ,Nao,Feminino,0,Sim,Nao,57,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Sim,Sim,Sim,Um_ano,Sim,Transferencia_automatica,109.4,6252.7,3.646666666666667
0104-PPXDV,Nao,Masculino,0,Sim,Nao,58,Sim,Nao,DSL,Nao,Nao,Sim,Nao,Nao,Nao,Um_ano,Nao,Cartao_credito_automatico,50.3,2878.55,1.6766666666666665
0106-GHRQR,Nao,Masculino,0,Nao,Nao,16,Sim,Sim,DSL,Nao,Sim,Sim,Nao,Nao,Sim,Mensal,Sim,Transferencia_automatica,71.4,1212.1,2.3800000000000003
0106-UGRDO,Nao,Feminino,0,Sim,Nao,69,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois_anos,Sim,Cheque_eletronico,116.0,8182.85,3.8666666666666667
0107-WESLM,Sim,Masculino,0,Nao,Nao,1,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Sim,Cheque_eletronico,19.85,19.85,0.6616666666666667
0107-YHINA,Sim,Masculino,0,Nao,Sim,1,Sim,Sim,Fibra_optica,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,99.75,99.75,3.325
0111-KLBQG,Nao,Masculino,1,Sim,Sim,32,Sim,Nao,Fibra_optica,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,Cheque_enviado,93.95,2861.45,3.131666666666667
0112-QAWRZ,Nao,Masculino,0,Sim,Sim,16,Sim,Sim,Fibra_optica,Nao,Nao,Sim,Nao,Sim,Nao,Mensal,Sim,Transferencia_automatica,90.8,1442.2,3.0266666666666664
0112-QWPNC,Sim,Masculino,0,Sim,Nao,49,Sim,Sim,DSL,Sim,Nao,Sim,Sim,Sim,Sim,Um_ano,Nao,Cheque_eletronico,84.35,4059.35,2.8116666666666665
0114-IGABW,Nao,Feminino,0,Sim,Nao,71,Nao,Sem_telefone,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Dois_anos,Nao,Transferencia_automatica,58.25,4145.9,1.9416666666666667
0114-PEGZZ,Nao,Feminino,0,Nao,Nao,33,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Nao,Sim,Sim,Mensal,Nao,Cheque_eletronico,107.55,3645.5,3.585
0114-RSRRW,Nao,Feminino,0,Sim,Nao,10,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Sim,Transferencia_automatica,19.95,187.75,0.6649999999999999
0115-TFERT,Sim,Masculino,0,Sim,Nao,21,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque_eletronico,111.2,2317.1,3.7066666666666666
0117-LFRMW,Sim,Masculino,0,Sim,Sim,37,Nao,Sem_telefone,DSL,Sim,Sim,Sim,Nao,Nao,Nao,Mensal,Nao,Transferencia_automatica,40.2,1448.8,1.34
0118-JPNOY,Nao,Feminino,1,Nao,Nao,26,Sim,Nao,Fibra_optica,Sim,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,Cartao_credito_automatico,85.8,2193.65,2.86
0121-SNYRK,Nao,Masculino,0,Nao,Nao,50,Nao,Sem_telefone,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Um_ano,Sim,Cheque_enviado,35.4,1748.9,1.18
0122-OAHPZ,Sim,Feminino,0,Nao,Nao,7,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_eletronico,73.85,511.25,2.4616666666666664
0123-CRBRT,Nao,Feminino,0,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Dois_anos,Nao,Cheque_enviado,88.1,5526.75,2.9366666666666665
0125-LZQXK,Sim,Masculino,0,Nao,Nao,15,Sim,Nao,Fibra_optica,Nao,Nao,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque_eletronico,101.35,1553.95,3.378333333333333
0128-MKWSG,Nao,Feminino,0,Nao,Sim,26,Nao,Sem_telefone,DSL,Sim,Nao,Nao,Sim,Nao,Sim,Mensal,Nao,Cheque_enviado,45.8,1147.0,1.5266666666666666
0129-KPTWJ,Nao,Masculino,0,Sim,Nao,72,Sim,Nao,Fibra_optica,Nao,Nao,Sim,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,94.65,6747.35,3.1550000000000002
0129-QMPDR,Nao,Masculino,0,Sim,Sim,44,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Um_ano,Sim,Transferencia_automatica,20.5,865.05,0.6833333333333333
0130-SXOUN,Nao,Masculino,0,Nao,Nao,66,Sim,Sim,Fibra_optica,Nao,Sim,Nao,Nao,Nao,Sim,Mensal,Nao,Cartao_credito_automatico,89.4,5976.9,2.98
0133-BMFZO,Sim,Feminino,0,Nao,Nao,2,Sim,Nao,Fibra_optica,Sim,Sim,Nao,Sim,Nao,Nao,Mensal,Sim,Cheque_eletronico,86.25,181.65,2.875
0134-XWXCE,Nao,Feminino,1,Nao,Nao,44,Sim,Nao,DSL,Nao,Nao,Sim,Sim,Sim,Sim,Um_ano,Nao,Transferencia_automatica,74.85,3268.05,2.4949999999999997
0135-NMXAP,Sim,Feminino,0,Nao,Nao,12,Sim,Sim,Fibra_optica,Nao,Sim,Nao,Nao,Sim,Nao,Mensal,Sim,Transferencia_automatica,89.75,1052.4,2.9916666666666667
0136-IFMYD,Nao,Masculino,1,Sim,Nao,69,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Sim,Sim,Sim,Dois_anos,Sim,Cheque_eletronico,109.95,7634.25,3.665
0137-OCGAB,Sim,Feminino,0,Nao,Nao,1,Sim,Sim,Fibra_optica,Nao,Sim,Nao,Nao,Nao,Nao,Mensal,Sim,Cheque_enviado,80.2,80.2,2.6733333333333333
0137-UDEUO,Sim,Feminino,0,Nao,Nao,3,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Nao,Cheque_enviado,19.85,63.75,0.6616666666666667
0139-IVFJG,Nao,Feminino,0,Sim,Nao,2,Sim,Nao,Fibra_optica,Sim,Sim,Nao,Nao,Sim,Nao,Mensal,Nao,Cheque_eletronico,90.35,190.5,3.0116666666666663
0141-YEAYS,Nao,Feminino,1,Nao,Nao,27,Sim,Sim,Fibra_optica,Nao,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,Transferencia_automatica,86.45,2401.05,2.881666666666667
0142-GVYSN,Nao,Masculino,0,Nao,Nao,26,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Sim,Cheque_eletronico,20.3,511.25,0.6766666666666666
0147-ESWWR,Nao,Feminino,1,Sim,Nao,39,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Sim,Sim,Sim,Mensal,Sim,Cheque_eletronico,101.25,3949.15,3.375
0148-DCDOS,Sim,Masculino,0,Nao,Nao,25,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,Transferencia_automatica,94.7,2362.1,3.1566666666666667
0151-ONTOV,Sim,Feminino,0,Nao,Nao,1,Sim,Nao,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,Cheque_enviado,70.9,70.9,2.3633333333333337
0156-FVPTA,Sim,Masculino,0,Sim,Nao,22,Sim,Nao,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Mensal,Sim,Cheque_eletronico,54.2,1152.7,1.8066666666666669
0164-APGRB,Nao,Feminino,0,Nao,Nao,72,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois_anos,Sim,Cheque_eletronico,114.9,8496.7,3.83
0164-XAIRP,Nao,Feminino,0,Nao,Nao,24,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Sim,Transferencia_automatica,19.55,470.2,0.6516666666666667
0168-XZKBB,Nao,Feminino,0,Sim,Nao,19,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Sim,Nao,Mensal,Sim,Cheque_eletronico,86.85,1564.4,2.895
0174-QRVVY,Nao,Masculino,0,Sim,Sim,71,Sim,Sim,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Nao,Cartao_credito_automatico,25.35,1847.55,0.8450000000000001
0177-PXBAT,Nao,Masculino,1,Sim,Nao,33,Sim,Sim,Fibra_optica,Sim,Nao,Sim,Sim,Sim,Sim,Mensal,Sim,Transferencia_automatica,109.9,3694.7,3.6633333333333336
0178-CIIKR,Nao,Feminino,0,Nao,Nao,3,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Nao,Cheque_enviado,19.95,58.0,0.6649999999999999
0178-SZBHO,Nao,Masculino,0,Sim,Sim,47,Sim,Sim,Fibra_optica,Nao,Sim,Nao,Nao,Sim,Nao,Mensal,Nao,Cheque_eletronico,87.2,4017.45,2.9066666666666667
0181-RITDD,Nao,Masculino,0,Sim,Sim,62,Sim,Nao,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Dois_anos,Nao,Cheque_enviado,108.15,6825.65,3.605
0186-CAERR,Nao,Masculino,0,Nao,Nao,71,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Um_ano,Sim,Transferencia_automatica,116.3,8309.55,3.8766666666666665
0187-QSXOE,Nao,Masculino,1,Sim,Nao,7,Sim,Nao,Fibra_optica,Nao,Nao,Nao,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,89.0,605.45,2.966666666666667
0187-WZNAB,Nao,Feminino,0,Sim,Sim,27,Sim,Nao,Fibra_optica,Sim,Nao,Nao,Nao,Nao,Nao,Mensal,Nao,Cheque_enviado,74.4,1972.35,2.48
0188-GWFLE,Nao,Masculino,0,Nao,Nao,2,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Nao,Cheque_enviado,20.05,33.7,0.6683333333333333
0191-EQUUH,Nao,Feminino,0,Nao,Sim,25,Nao,Sem_telefone,DSL,Sim,Nao,Nao,Sim,Nao,Nao,Dois_anos,Nao,Transferencia_automatica,35.05,844.45,1.1683333333333332
0191-ZHSKZ,Nao,Masculino,1,Nao,Nao,30,Sim,Nao,DSL,Sim,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,74.75,2111.3,2.4916666666666667
0193-ESZXP,Sim,Feminino,1,Sim,Nao,58,Sim,Nao,Fibra_optica,Sim,Sim,Nao,Sim,Sim,Sim,Um_ano,Sim,Cartao_credito_automatico,105.5,6205.5,3.5166666666666666
0195-IESCP,Sim,Masculino,0,Sim,Nao,10,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,Cheque_eletronico,85.25,855.3,2.841666666666667
0196-JTUQI,Nao,Feminino,0,Nao,Nao,9,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Nao,Mensal,Sim,Cartao_credito_automatico,75.2,633.85,2.506666666666667
0196-VULGZ,Sim,Feminino,1,Sim,Nao,6,Sim,Sim,Fibra_optica,Nao,Nao,Nao,Nao,Nao,Sim,Mensal,Sim,Cheque_eletronico,84.35,474.9,2.8116666666666665
0197-PNKNK,Nao,Feminino,0,Sim,Sim,69,Sim,Sim,Fibra_optica,Sim,Nao,Sim,Nao,Nao,Nao,Um_ano,Nao,Transferencia_automatica,84.45,5848.6,2.815
0201-MIBOL,Nao,Feminino,1,Nao,Nao,66,Sim,Sim,Fibra_optica,Sim,Nao,Nao,Nao,Sim,Sim,Dois_anos,Sim,Transferencia_automatica,102.4,6471.85,3.4133333333333336
0201-OAMXR,Sim,Feminino,0,Nao,Nao,70,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Um_ano,Nao,Cartao_credito_automatico,115.55,8127.6,3.8516666666666666
0203-HHYIJ,Sim,Masculino,0,Nao,Nao,25,Sim,Sim,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Um_ano,Nao,Transferencia_automatica,25.3,676.35,0.8433333333333334
0206-OYVOC,Nao,Feminino,0,Sim,Sim,46,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Dois_anos,Sim,Cheque_enviado,19.25,864.2,0.6416666666666667
0206-TBWLC,Nao,Feminino,0,Sim,Nao,54,Sim,Sim,Fibra_optica,Sim,Sim,Sim,Sim,Sim,Sim,Um_ano,Sim,Cheque_enviado,114.65,6049.5,3.8216666666666668
0207-MDKNV,Sim,Feminino,0,Nao,Nao,15,Sim,Nao,Fibra_optica,Sim,Nao,Sim,Sim,Sim,Sim,Mensal,Nao,Cheque_eletronico,105.1,1582.75,3.503333333333333
0208-BPQEJ,Nao,Feminino,0,Sim,Sim,12,Sim,Nao,Nao,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Sem_internet,Mensal,Nao,Transferencia_automatica,19.4,198.1,0.6466666666666666
0212-ISBBF,Nao,Feminino,0,Nao,Nao,22,Nao,Sem_telefone,DSL,Nao,Sim,Nao,Nao,Sim,Sim,Mensal,Sim,Cheque_eletronico,50.35,1098.85,1.6783333333333335
0214-JHPFW,Nao,Feminino,0,Sim,Nao,70,Nao,Sem_telefone,DSL,Nao,Sim,Sim,Sim,Sim,Sim,Dois_anos,Nao,Transferencia_automatica,57.8,4039.3,1.9266666666666665
0215-BQKGS,Nao,Masculino,0,Nao,Nao,30,Sim,Nao,Fibra_optica,Sim,Sim,Sim,Nao,Nao,Nao,Mensal,Sim,Cartao_credito_automatico,84.3,2438.6,2.81
0218-QNVAS,Nao,Masculino,0,Sim,Sim,71,Sim,Sim,Fibra_optica,Nao,Sim,Nao,Nao,Sim,Sim,Um_ano,Nao,Transferencia_automatica,100.55,7113.75,3.3516666666666666
